[  130403ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/next-devtools/shared/forward-logs-shared.js:27
[  133038ms] [LOG] %c[Vercel Web Analytics]%c Debug mode is enabled by default in development. No requests will be sent to the server. color: rgb(120, 120, 120) color: inherit @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/next-devtools/shared/forward-logs-shared.js:27
[  133040ms] [LOG] %c[Vercel Web Analytics]%c [view] http://localhost:3000/de color: rgb(120, 120, 120) color: inherit {o: http://localhost:3000/de, sv: 0.1.3, sdkn: @vercel/analytics/react, sdkv: 1.6.1, ts: 1776499276665} /_vercel/insights/view @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/next-devtools/shared/forward-logs-shared.js:27
[  133041ms] [LOG] [HMR] connected @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/next-devtools/shared/forward-logs-shared.js:27
[  133116ms] [LOG] %c[Vercel Speed Insights]%c Debug mode is enabled by default in development. No requests will be sent to the server. color: rgb(120, 120, 120) color: inherit @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/next-devtools/shared/forward-logs-shared.js:27
[  147496ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/next-devtools/shared/forward-logs-shared.js:27
[  220622ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1776499348254 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/de:0
[  223288ms] [LOG] [Fast Refresh] done in 75790ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/next-devtools/shared/forward-logs-shared.js:27
[  226381ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1776499348254 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/de:0
[  253106ms] [LOG] [Fast Refresh] rebuilding @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/next-devtools/shared/forward-logs-shared.js:27
[  257851ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1776499348254 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/de:0
[  264326ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1776499348254 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/de:0
[  311442ms] [LOG] [Fast Refresh] done in 58336ms @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/next-devtools/shared/forward-logs-shared.js:27
[  314458ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1776499348254 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/de:0
[  356078ms] [WARNING] The resource http://localhost:3000/_next/static/css/app/layout.css?v=1776499478433 was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/de:0
